	Aetiology
    	Causality
        XB8M	Congenital
        XB8D	Iatrogenic
        XB5F	Idiopathic
        XB1Y	Familial
        XB25	Nosocomial
        XB4Q	Environmental
        	Occupational relevance
            XB17	Occupation as primary factor
            XB5G	Occupation as cofactor
            XB80	Not occupation-related
        XB5W	Life-style
        XB22	Community acquired
        XT9T	Ageing-related
        XB2G	Post traumatic
        XB4S	Genetic
            XB7K	Hereditary
            XB7S	Non-hereditary
    	Infectious Agents
        XN74M	Bacteria
            XN5PZ	Gram Negative Bacteria
                XN25B	Acinetobacter
                    XN8LS	Acinetobacter baumannii
                    XN5YN	Acinetobacter junii
                    XN0DS	Acinetobacter nosocomialis
                    XN2QH	Acinetobacter pittii
                XN048	Anaplasma
                    XN1MH	Anaplasma phagocytophilum
                XN3NJ	Bartonella
                    XN0W4	Bartonella bacilliformis
                    XN3F6	Bartonella clarridgeiae
                    XN5J5	Bartonella elizabethae
                    XN5SH	Bartonella grahamii
                    XN862	Bartonella henselae
                    XN302	Bartonella koehlerae
                    XN14D	Bartonella quintana
                    XN43H	Bartonella rochalimae
                    XN6KD	Bartonella vinsonii
                    XN94Y	Bartonella washoensis
                XN9W3	Bordetella
                    XN173	Bordetella bronchiseptica
                    XN23B	Bordetella pertussis
                    XN7LQ	Bordetella parapertussis
                XN22N	Brucella
                    XN7A8	Brucella abortus
                    XN84J	Brucella canis
                    XN7ZW	Brucella melitensis
                    XN3UP	Brucella suis
                XN01M	Burkholderia
                    XN351	Burkholderia gladioli
                    XN6Y3	Burkholderia mallei
                    XN3LD	Burkholderia pseudomallei
                    XN335	Burkholderia cepacia complex
                        XN06D	Burkholderia stabilis
                        XN0ZW	Burkholderia anthina
                        XN15B	Burkholderia contaminans
                XN7US	Campylobacter
                    XN0BA	Campylobacter coli
                    XN3EN	Campylobacter fetus
                    XN4Q5	Campylobacter jejuni
                XN27H	Chlamydia
                    XN9EE	Chlamydia pneumoniae
                    XN4S7	Chlamydia psittaci
                    XN4Q4	Chlamydia trachomatis
                XN0FZ	Citrobacter
                    XN0M3	Citrobacter freundii
                XN5H6	Coxiella
                    XN0QS	Coxiella burnetii
                XN9M7	Ehrlichia
                    XN293	Ehrlichia canis
                    XN4GW	Ehrlichia chaffeensis
                    XN2YH	Ehrlichia ewingii
                XN1VF	Eikenella
                XN9W5	Enterobacter
                    XN3YM	Enterobacter cloacae
                XN4WC	Escherichia
                    XN6P4	Escherichia coli
                        XN88S	Enteroinvasive Escherichia coli
                        XN2U0	Enteropathogenic Escherichia coli
                        XN81Z	Enterotoxigenic Escherichia coli
                        XN108	Shiga toxin-producing Escherichia coli
                            XN5NF	Enterohaemorrhagic Escherichia coli
                        XN55V	Enteroaggregative Escherichia coli
                    XN6MP	Escherichia hermannii
                    XN2S7	Pseudescherichia vulneris
                XN94G	Francisella
                    XN6HJ	Francisella philomiragia
                    XN0BX	Francisella tularensis
                        XN4ZY	Francisella novicida
                XN4LF	Fusobacterium
                    XN7B1	Fusobacterium necrophorum
                    XN5MA	Fusobacterium novum
                    XN4P8	Fusobacterium nucleatum
                    XN911	Fusobacterium polymorphum
                XN2HK	Haemophilus
                    XN6MB	Haemophilus ducreyi
                    XN1P6	Haemophilus influenzae
                        XN1BX	Haemophilus influenzae aegyptius
                        XN0FG	Haemophilus influenzae type B
                XN6XR	Helicobacter
                    XN0YS	Helicobacter bilis
                    XN0TD	Helicobacter bizzozeronii
                    XN42L	Helicobacter canis
                    XN354	Helicobacter cinaedi
                    XN6JN	Helicobacter felis
                    XN9X3	Helicobacter ganmani
                    XN8PN	Helicobacter hepaticus
                    XN3DY	Helicobacter pylori
                    XN9D7	Helicobacter salomonis
                    XN079	Helicobacter suis
                XN620	Klebsiella
                    XN027	Klebsiella granulomatis
                    XN7WL	Klebsiella oxytoca
                    XN741	Klebsiella pneumoniae
                XN7EJ	Kingella kingae
                XN3SZ	Legionella
                    XN14Z	Legionella longbeachae
                    XN9YS	Legionella pneumophila
                XN9RA	Leptospira
                    XN1R8	Leptospira alexanderi
                    XN7D2	Leptospira borgpetersenii
                    XN9K9	Leptospira broomii
                    XN5HC	Leptospira fainei
                    XN20F	Leptospira inadai
                    XN78P	Leptospira interrogans
                    XN110	Leptospira kirschneri
                    XN481	Leptospira kmetyi
                    XN6NU	Leptospira licerasiae
                    XN4KP	Leptospira noguchii
                    XN01X	Leptospira santarosai
                    XN4FL	Leptospira species
                    XN4E7	Leptospira weilii
                    XN77E	Leptospira wolffii
                    XN5UB	Leptospira genomospecies 1 (alstonii)
                XN2JD	Leptotrichia
                    XN734	Leptotrichia buccalis
                    XN4GY	Leptotrichia goodfellowii
                    XN0SF	Leptotrichia hofstadii
                    XN4SA	Leptotrichia hongkongensis
                    XN7NF	Leptotrichia shahii
                    XN6QY	Leptotrichia trevisanii
                    XN5SN	Leptotrichia wadei
                XN90V	Moraxella
                XN8G6	Morganella
                XN1W2	Mycoplasma
                    XN3NR	Mycoplasma fermentans
                    XN9UG	Mycoplasma genitalium
                    XN674	Mycoplasma hyorhinis
                    XN3AD	Mycoplasma penetrans
                    XN4NV	Mycoplasma pneumoniae
                XN69X	Neisseria
                    XN59Y	Neisseria gonorrhoeae
                    XN1DV	Neisseria meningitidis
                        XN3CR	Neisseria meningitidis serogroup A
                        XN8FU	Neisseria meningitidis serogroup B
                        XN7EM	Neisseria meningitidis serogroup C
                        XN03X	Neisseria meningitidis serogroup W
                        XN0C2	Neisseria meningitidis serogroup X
                        XN5H0	Neisseria meningitidis serogroup Y
                XN8ST	Neorickettsia
                    XN7C8	Neorickettsia sennetsu
                XN3U2	Pasteurella
                    XN30D	Pasteurella multocida
                XN1ZM	Pleisiomonas
                XN3BS	Proteus
                    XN9ZF	Proteus mirabilis
                    XN9DS	Proteus morganii
                    XN7PE	Proteus penneri
                    XN118	Proteus vulgaris
                XN7R2	Providencia
                    XN2PG	Providencia rettgeri
                XN022	Pseudomonas
                    XN5L6	Pseudomonas aeruginosa
                    XN3JP	Pseudomonas oryzihabitans
                    XN52E	Pseudomonas mallei
                    XN8J7	Pseudomonas plecoglossicida
                    XN8AA	Pseudomonas pseudomallei
                XN4YH	Rickettsia
                    XN9YP	Rickettsia africae
                    XN7WV	Rickettsia akari
                    XN23V	Rickettsia australis
                    XN8U4	Rickettsia conorii
                    XN6W8	Rickettsia felis
                    XN9NE	Rickettsia helvetica
                    XN5NY	Rickettsia hoogstraalii
                    XN3XV	Rickettsia japonica
                    XN8SY	Rickettsia prowazekii
                    XN33Q	Rickettsia rickettsii
                    XN1N6	Rickettsia sibirica
                    XN2AR	Rickettsia typhi
                XN0QE	Salmonellae
                    XN5VC	Salmonella enterica spp.
                        XN0UV	Salmonella Paratyphi
                            XN1K5	Salmonella paratyphi A
                            XN322	Salmonella paratyphi B
                            XN5TR	Salmonella paratyphi C
                        XN4AM	Salmonella Typhi
                        XN7U5	Salmonella Panama
                        XN97K	Salmonella Weltevreden
                        XN13V	Salmonella Wandsworth
                        XN3DF	Salmonella Virchow
                        XN4QY	Salmonella Give
                        XN3AE	Salmonella Gaminara
                        XN0N5	Salmonella Agona
                        XN5SM	Salmonella Kiambu
                        XN3TU	Salmonella Thompson
                        XN15L	Salmonella Typhimurium
                        XN8SF	Salmonella Saintpaul
                        XN2MU	Salmonella Stanley
                        XN0LX	Salmonella Strathcona
                        XN5WE	Salmonella Senftenberg
                        XN291	Salmonella Tennessee
                        XN87G	Salmonella Newport
                        XN5TM	Salmonella Hartford
                        XN1QX	Salmonella Oranienburg
                        XN2SZ	Salmonella Poona
                        XN36N	Salmonella Kedougou
                        XN5LV	Salmonella Litchfield
                        XN4LH	Salmonella Mbandaka
                        XN1FK	Salmonella Montevideo
                        XN3UH	Salmonella Mikawasima
                        XN7QM	Salmonella Concord
                        XN8RF	Salmonella Cubana
                        XN39C	Salmonella Infantis
                        XN6JL	Salmonella Havana
                        XN1W7	Salmonella Enteritidis
                        XN0Q7	Salmonella Bareilly
                        XN4MS	Salmonella Braenderup
                        XN3KA	Salmonella Brandenburg
                        XN0NU	Salmonella Choleraesuis
                        XN910	Salmonella Bredeney
                        XN52S	Salmonella Nchanga
                        XN8F6	Salmonella Lille
                        XN7EC	Salmonella Sandiego
                        XN2DJ	Salmonella enterica subspecies enterica serovar 4,5,12:i:-
                        XN7PN	Salmonella enterica subspecies enterica serovar 4,[5],12:i:-
                    XN2DW	Salmonella bongori spp
                XN71D	Serratia spp
                    XN2V6	Serratia marcescens
                XN7HG	Shigella spp
                    XN7Y2	Shigella flexneri
                    XN8RN	Shigella boydii
                    XN285	Shigella dysenteriae
                    XN9M9	Shigella sonnei
                XN23Z	Spirillum
                    XN0J7	Spirillum minus
                    XN78V	Spirillum pulli
                    XN17K	Spirillum volutans
                    XN96A	Spirillum winogradskyi
                XN708	Streptobacillus
                    XN91U	Streptobacillus moniliformis
                XN1L0	Stenotrophomonas
                    XN0AD	Stenotrophomonas maltophilia
                XN36C	Treponema
                    XN76V	Treponema carateum
                    XN711	Treponema pallidum
                        XN6AL	Treponema pallidum carateum
                        XN35Z	Treponema pallidum endemicum
                        XN030	Treponema pallidum pallidum
                        XN46P	Treponema pallidum pertenue
                XN1R2	Ureaplasma
                XN8RL	Vibrio
                    XN7N1	Vibrio cholerae
                        XN8P1	Vibrio cholerae O1, biovar cholerae
                        XN62R	Vibrio cholerae O1, biovar eltor
                        XN8KD	Vibrio cholerae O139
                    XN1AA	Vibrio parahaemolyticus
                    XN44G	Vibrio vulnificus
                XN4QG	Yersinia
                    XN91V	Yersinia enterocolitica
                    XN6QS	Yersinia pestis
                    XN6K8	Yersinia pseudotuberculosis
                XN65H	Bacteroides
                    XN2R7	Bacteroides fragilis
                XN9EB	Cronobacter
                    XN2YF	Cronobacter sakazakii
                XN9AS	Brevundimonas
                    XN8W4	Brevundimonas diminuta
                    XN2F0	Brevundimonas vesicularis
                XN1J7	Aeromonas
                    XN40Z	Aeromonas hydrophila
                    XN0XY	Aeromonas caviae
                XN4X0	Herbaspirillum
                    XN7QA	Herbaspirillum huttiense
                XN706	Elizabethkingia
                    XN6BA	Elizabethkingia anophelis
                    XN6C4	Elizabethkingia meningoseptica
                XN15X	Ralstonia
                    XN6AH	Ralstonia picketti
                    XN694	Ralstonia mannitolilytica
                    XN9VM	Ralstonia insidiosa
                XN3NY	Raoultella
                    XN0MD	Raoultella ornithinolytica
                XN6PA	Orientia
                    XN675	Orientia tsutsugamushi
            XN2QM	Gram Positive Bacteria
                XN3G0	Actinomyces
                    XN0GV	Actinomyces gerencseriae
                    XN15T	Actinomyces israelii
                    XN8HN	Actinomyces species
                XN8EK	Actinomycetales
                    XN8P7	Actinomadura
