	Finding of microorganism resistant to antimicrobial drugs
    MG50	Finding of gram negative bacteria resistant to antimicrobial drugs
        MG50.0	Antibiotic resistant Acinetobacter baumannii
            MG50.00	Tetracycline resistant Acinetobacter baumannii
            MG50.01	Aminoglycoside resistant Acinetobacter baumannii
            MG50.02	Carbapenem resistant Acinetobacter baumannii
            MG50.03	Polymyxin resistant Acinetobacter baumannii
            MG50.0Y	Acinetobacter resistant to other antibiotic
            MG50.0Z	Acinetobacter resistant to unspecified antibiotic
        MG50.1	Antibiotic resistant Campylobacter
            MG50.10	Fluoroquinolone resistant Campylobacter
            MG50.1Y	Other specified antibiotic resistant Campylobacter
            MG50.1Z	Campylobacter resistant to unspecified antibiotic
        MG50.2	Antibiotic resistant Escherichia coli
            MG50.20	Sulfonamide or trimethoprim resistant Escherichia coli
            MG50.21	Fluoroquinolone resistant Escherichia coli
            MG50.22	Third generation cephalosporin resistant Escherichia coli
            MG50.23	Fourth-generation cephalosporins resistant Escherichia coli
            MG50.24	Carbapenem resistant Escherichia coli
            MG50.25	Polymyxin resistant Escherichia coli
            MG50.26	Penicillin resistant Escherichia coli
            MG50.27	Extended spectrum beta-lactamase producing Escherichia coli
            MG50.2Y	Escherichia coli resistant to other antibiotic
            MG50.2Z	Escherichia coli resistant to unspecified antibiotic
        MG50.3	Antibiotic resistant Haemophilus influenzae
            MG50.30	Ampicillin resistant Haemophilus influenzae
            MG50.3Y	Other specified antibiotic resistant Haemophilus influenzae
            MG50.3Z	Antibiotic resistant Haemophilus influenzae, unspecified
        MG50.4	Antibiotic resistant Helicobacter pylori
            MG50.40	Clarithromycin resistant Helicobacter pylori
            MG50.4Y	Other specified antibiotic resistant Helicobacter pylori
            MG50.4Z	Antibiotic resistant Helicobacter pylori, unspecified
        MG50.5	Antibiotic resistant Klebsiella pneumoniae
            MG50.50	Sulfonamide or trimethoprim resistant Klebsiella pneumoniae
            MG50.51	Fluoroquinolone resistant Klebsiella pneumoniae
            MG50.52	Third-generation cephalosporin resistant Klebsiella pneumoniae
            MG50.53	Fourth-generation cephalosporin resistant Klebsiella pneumoniae
            MG50.54	Carbapenem resistant Klebsiella pneumoniae
            MG50.55	Polymyxin resistant Klebsiella pneumoniae
            MG50.56	Extended-spectrum beta-lactamase producing Klebsiella pneumoniae
            MG50.5Y	Klebsiella pneumoniae resistant to other antibiotic
            MG50.5Z	Klebsiella pneumoniae resistant to unspecified antibiotic
        MG50.6	Antibiotic resistant Neisseria gonorrhoeae
