	Disorders due to substance use
    6C40	Disorders due to use of alcohol
        6C40.0	Episode of harmful use of alcohol
        6C40.1	Harmful pattern of use of alcohol
            6C40.10	Harmful pattern of use of alcohol, episodic
            6C40.11	Harmful pattern of use of alcohol, continuous
            6C40.1Z	Harmful pattern of use of alcohol, unspecified
        6C40.2	Alcohol dependence
            6C40.20	Alcohol dependence, current use, continuous
            6C40.21	Alcohol dependence, current use, episodic
            6C40.22	Alcohol dependence, early full remission
            6C40.23	Alcohol dependence, sustained partial remission
            6C40.24	Alcohol dependence, sustained full remission
            6C40.2Z	Alcohol dependence, unspecified
        6C40.3	Alcohol intoxication
        6C40.4	Alcohol withdrawal
            6C40.40	Alcohol withdrawal, uncomplicated
            6C40.41	Alcohol withdrawal with perceptual disturbances
            6C40.42	Alcohol withdrawal with seizures
            6C40.43	Alcohol withdrawal with perceptual disturbances and seizures
            6C40.4Z	Alcohol withdrawal, unspecified
        6C40.5	Alcohol-induced delirium
        6C40.6	Alcohol-induced psychotic disorder
            6C40.60	Alcohol-induced psychotic disorder with hallucinations
            6C40.61	Alcohol-induced psychotic disorder with delusions
            6C40.62	Alcohol-induced psychotic disorder with mixed psychotic symptoms
            6C40.6Z	Alcohol-induced psychotic disorder, unspecified
        6C40.7	Certain specified alcohol-induced mental or behavioural disorders
            6C40.70	Alcohol-induced mood disorder
            6C40.71	Alcohol-induced anxiety disorder
        6C40.Y	Other specified disorders due to use of alcohol
        6C40.Z	Disorders due to use of alcohol, unspecified
    6C41	Disorders due to use of cannabis
        6C41.0	Episode of harmful use of cannabis
        6C41.1	Harmful pattern of use of cannabis
            6C41.10	Harmful pattern of use of cannabis, episodic
            6C41.11	Harmful pattern of use of cannabis, continuous
            6C41.1Z	Harmful pattern of use of cannabis, unspecified
        6C41.2	Cannabis dependence
            6C41.20	Cannabis dependence, current use
            6C41.21	Cannabis dependence, early full remission
            6C41.22	Cannabis dependence, sustained partial remission
            6C41.23	Cannabis dependence, sustained full remission
            6C41.2Z	Cannabis dependence, unspecified
        6C41.3	Cannabis intoxication
        6C41.4	Cannabis withdrawal
        6C41.5	Cannabis-induced delirium
        6C41.6	Cannabis-induced psychotic disorder
        6C41.7	Certain specified cannabis-induced mental or behavioural disorders
            6C41.70	Cannabis-induced mood disorder
            6C41.71	Cannabis-induced anxiety disorder
        6C41.Y	Other specified disorders due to use of cannabis
        6C41.Z	Disorders due to use of cannabis, unspecified
    6C42	Disorders due to use of synthetic cannabinoids
        6C42.0	Episode of harmful use of synthetic cannabinoids
        6C42.1	Harmful pattern of use of synthetic cannabinoids
            6C42.10	Harmful pattern of use of synthetic cannabinoids, episodic
            6C42.11	Harmful pattern of use of synthetic cannabinoids, continuous
            6C42.1Y	Other specified harmful pattern of use of synthetic cannabinoids
            6C42.1Z	Harmful pattern of use of synthetic cannabinoids, unspecified
        6C42.2	Synthetic cannabinoid dependence
            6C42.20	Synthetic cannabinoid dependence, current use
            6C42.21	Synthetic cannabinoid dependence, early full remission
            6C42.22	Synthetic cannabinoid dependence, sustained partial remission
            6C42.23	Synthetic cannabinoid dependence, sustained full remission
            6C42.2Y	Other specified synthetic cannabinoid dependence
            6C42.2Z	Synthetic cannabinoid dependence, unspecified
        6C42.3	Synthetic cannabinoid intoxication
        6C42.4	Synthetic cannabinoid withdrawal
        6C42.5	Synthetic cannabinoid-induced delirium
        6C42.6	Synthetic cannabinoid-induced psychotic disorder
        6C42.7	Certain specified synthetic cannabinoids-induced mental or behavioural disorders
            6C42.70	Synthetic cannabinoid-induced mood disorder
            6C42.71	Synthetic cannabinoid-induced anxiety disorder
        6C42.Y	Other specified disorders due to use of synthetic cannabinoids
        6C42.Z	Disorders due to use of synthetic cannabinoids, unspecified
    6C43	Disorders due to use of opioids
        6C43.0	Episode of harmful use of opioids
