06	Mental, behavioural or neurodevelopmental disorders
    	Neurodevelopmental disorders
        6A00	Disorders of intellectual development
            6A00.0	Disorder of intellectual development, mild
            6A00.1	Disorder of intellectual development, moderate
            6A00.2	Disorder of intellectual development, severe
            6A00.3	Disorder of intellectual development, profound
            6A00.4	Disorder of intellectual development, provisional
            6A00.Z	Disorders of intellectual development, unspecified
        6A01	Developmental speech or language disorders
            6A01.0	Developmental speech sound disorder
            6A01.1	Developmental speech fluency disorder
            6A01.2	Developmental language disorder
                6A01.20	Developmental language disorder with impairment of receptive and expressive language
                6A01.21	Developmental language disorder with impairment of mainly expressive language
                6A01.22	Developmental language disorder with impairment of mainly pragmatic language
                6A01.23	Developmental language disorder, with other specified language impairment
            6A01.Y	Other specified developmental speech or language disorders
            6A01.Z	Developmental speech or language disorders, unspecified
        6A02	Autism spectrum disorder
            6A02.0	Autism spectrum disorder without disorder of intellectual development and with mild or no impairment of functional language
            6A02.1	Autism spectrum disorder with disorder of intellectual development and with mild or no impairment of functional language
            6A02.2	Autism spectrum disorder without disorder of intellectual development and with impaired functional language
            6A02.3	Autism spectrum disorder with disorder of intellectual development and with impaired functional language
            6A02.5	Autism spectrum disorder with disorder of intellectual development and with absence of functional language
            6A02.Y	Other specified autism spectrum disorder
            6A02.Z	Autism spectrum disorder, unspecified
        6A03	Developmental learning disorder
            6A03.0	Developmental learning disorder with impairment in reading
            6A03.1	Developmental learning disorder with impairment in written expression
            6A03.2	Developmental learning disorder with impairment in mathematics
            6A03.3	Developmental learning disorder with other specified impairment of learning
            6A03.Z	Developmental learning disorder, unspecified
        6A04	Developmental motor coordination disorder
        6A05	Attention deficit hyperactivity disorder
            6A05.0	Attention deficit hyperactivity disorder, predominantly inattentive presentation
            6A05.1	Attention deficit hyperactivity disorder, predominantly hyperactive-impulsive presentation
            6A05.2	Attention deficit hyperactivity disorder, combined presentation
            6A05.Y	Attention deficit hyperactivity disorder, other specified presentation
            6A05.Z	Attention deficit hyperactivity disorder, presentation unspecified
        6A06	Stereotyped movement disorder
            6A06.0	Stereotyped movement disorder without self-injury
            6A06.1	Stereotyped movement disorder with self-injury
            6A06.Z	Stereotyped movement disorder, unspecified
        6A0Y	Other specified neurodevelopmental disorders
        6A0Z	Neurodevelopmental disorders, unspecified
    	Schizophrenia or other primary psychotic disorders
        6A20	Schizophrenia
            6A20.0	Schizophrenia, first episode
                6A20.00	Schizophrenia, first episode, currently symptomatic
                6A20.01	Schizophrenia, first episode, in partial remission
                6A20.02	Schizophrenia, first episode, in full remission
                6A20.0Z	Schizophrenia, first episode, unspecified
            6A20.1	Schizophrenia, multiple episodes
                6A20.10	Schizophrenia, multiple episodes, currently symptomatic
                6A20.11	Schizophrenia, multiple episodes, in partial remission
                6A20.12	Schizophrenia, multiple episodes, in full remission
                6A20.1Z	Schizophrenia, multiple episodes, unspecified
            6A20.2	Schizophrenia, continuous
                6A20.20	Schizophrenia, continuous, currently symptomatic
                6A20.21	Schizophrenia, continuous, in partial remission
                6A20.22	Schizophrenia, continuous, in full remission
                6A20.2Z	Schizophrenia, continuous, unspecified
            6A20.Y	Other specified episode of schizophrenia
            6A20.Z	Schizophrenia, episode unspecified
        6A21	Schizoaffective disorder
            6A21.0	Schizoaffective disorder, first episode
                6A21.00	Schizoaffective disorder, first episode, currently symptomatic
                6A21.01	Schizoaffective disorder, first episode, in partial remission
                6A21.02	Schizoaffective disorder, first episode, in full remission
                6A21.0Z	Schizoaffective disorder, first episode, unspecified
            6A21.1	Schizoaffective disorder, multiple episodes
                6A21.10	Schizoaffective disorder, multiple episodes, currently symptomatic
                6A21.11	Schizoaffective disorder, multiple episodes, in partial remission
                6A21.12	Schizoaffective disorder, multiple episodes, in full remission
                6A21.1Z	Schizoaffective disorder, multiple episodes, unspecified
            6A21.2	Schizoaffective disorder, continuous
                6A21.20	Schizoaffective disorder, continuous, currently symptomatic
                6A21.21	Schizoaffective disorder, continuous, in partial remission
                6A21.22	Schizoaffective disorder, continuous, in full remission
                6A21.2Z	Schizoaffective disorder, continuous, unspecified
            6A21.Y	Other specified schizoaffective disorder
            6A21.Z	Schizoaffective disorder, unspecified
        6A22	Schizotypal disorder
        6A23	Acute and transient psychotic disorder
            6A23.0	Acute and transient psychotic disorder, first episode
                6A23.00	Acute and transient psychotic disorder, first episode, currently symptomatic
                6A23.01	Acute and transient psychotic disorder, first episode, in partial remission
                6A23.02	Acute and transient psychotic disorder, first episode, in full remission
                6A23.0Z	Acute and transient psychotic disorder, first episode, unspecified
            6A23.1	Acute and transient psychotic disorder, multiple episodes
                6A23.10	Acute and transient psychotic disorder, multiple episodes, currently symptomatic
                6A23.11	Acute and transient psychotic disorder, multiple episodes, in partial remission
                6A23.12	Acute and transient psychotic disorder, multiple episodes, in full remission
                6A23.1Z	Acute and transient psychotic disorder, multiple episodes, unspecified
            6A23.Y	Other specified acute and transient psychotic disorder
            6A23.Z	Acute and transient psychotic disorder, unspecified
        6A24	Delusional disorder
            6A24.0	Delusional disorder, currently symptomatic
            6A24.1	Delusional disorder, in partial remission
            6A24.2	Delusional disorder, in full remission
            6A24.Z	Delusional disorder, unspecified
        6A25	Symptomatic manifestations of primary psychotic disorders
            6A25.0	Positive symptoms in primary psychotic disorders
            6A25.1	Negative symptoms in primary psychotic disorders
            6A25.2	Depressive mood symptoms in primary psychotic disorders
            6A25.3	Manic mood symptoms in primary psychotic disorders
            6A25.4	Psychomotor symptoms in primary psychotic disorders
            6A25.5	Cognitive symptoms in primary psychotic disorders
        	Substance-induced psychotic disorders
        6A2Y	Other specified primary psychotic disorder
        6A2Z	Schizophrenia or other primary psychotic disorders, unspecified
    	Catatonia
        6A40	Catatonia associated with another mental disorder
        6A41	Catatonia induced by substances or medications
        6A4Z	Catatonia, unspecified
    	Mood disorders
        	Bipolar or related disorders
            6A60	Bipolar type I disorder
                6A60.0	Bipolar type I disorder, current episode manic, without psychotic symptoms
                6A60.1	Bipolar type I disorder, current episode manic, with psychotic symptoms
                6A60.2	Bipolar type I disorder, current episode hypomanic
                6A60.3	Bipolar type I disorder, current episode depressive, mild
                6A60.4	Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms
                6A60.5	Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms
                6A60.6	Bipolar type I disorder, current episode depressive, severe without psychotic symptoms
                6A60.7	Bipolar type I disorder, current episode depressive, severe with psychotic symptoms
                6A60.8	Bipolar type I disorder, current episode depressive, unspecified severity
                6A60.9	Bipolar type I disorder, current episode mixed, without psychotic symptoms
                6A60.A	Bipolar type I disorder, current episode mixed, with psychotic symptoms
                6A60.B	Bipolar type I disorder, currently in partial remission, most recent episode manic or hypomanic
                6A60.C	Bipolar type I disorder, currently in partial remission, most recent episode depressive
                6A60.D	Bipolar type I disorder, currently in partial remission, most recent episode mixed
                6A60.E	Bipolar type I disorder, currently in partial remission, most recent episode unspecified
                6A60.F	Bipolar type I disorder, currently in full remission
                6A60.Y	Other specified bipolar type I disorder
                6A60.Z	Bipolar type I disorder, unspecified
            6A61	Bipolar type II disorder
                6A61.0	Bipolar type II disorder, current episode hypomanic
                6A61.1	Bipolar type II disorder, current episode depressive, mild
                6A61.2	Bipolar type II disorder, current episode depressive, moderate without psychotic symptoms
                6A61.3	Bipolar type II disorder, current episode depressive, moderate with psychotic symptoms
                6A61.4	Bipolar type II disorder, current episode depressive, severe without psychotic symptoms
                6A61.5	Bipolar type II disorder, current episode depressive, severe with psychotic symptoms
                6A61.6	Bipolar type II disorder, current episode depressive, unspecified severity
                6A61.7	Bipolar type II disorder, currently in partial remission, most recent episode hypomanic
                6A61.8	Bipolar type II disorder, currently in partial remission, most recent episode depressive
                6A61.9	Bipolar type II disorder, currently in partial remission, most recent episode unspecified
                6A61.A	Bipolar type II disorder, currently in full remission
                6A61.Y	Other specified bipolar type II disorder
                6A61.Z	Bipolar type II disorder, unspecified
            6A62	Cyclothymic disorder
            6A6Y	Other specified bipolar or related disorders
            6A6Z	Bipolar or related disorders, unspecified
        	Depressive disorders
            6A70	Single episode depressive disorder
                6A70.0	Single episode depressive disorder, mild
                6A70.1	Single episode depressive disorder, moderate, without psychotic symptoms
                6A70.2	Single episode depressive disorder, moderate, with psychotic symptoms
                6A70.3	Single episode depressive disorder, severe, without psychotic symptoms
                6A70.4	Single episode depressive disorder, severe, with psychotic symptoms
                6A70.5	Single episode depressive disorder, unspecified severity
                6A70.6	Single episode depressive disorder, currently in partial remission
                6A70.7	Single episode depressive disorder, currently in full remission
                6A70.Y	Other specified single episode depressive disorder
                6A70.Z	Single episode depressive disorder, unspecified
            6A71	Recurrent depressive disorder
                6A71.0	Recurrent depressive disorder, current episode mild
                6A71.1	Recurrent depressive disorder, current episode moderate, without psychotic symptoms
                6A71.2	Recurrent depressive disorder, current episode moderate, with psychotic symptoms
                6A71.3	Recurrent depressive disorder, current episode severe, without psychotic symptoms
                6A71.4	Recurrent depressive disorder, current episode severe, with psychotic symptoms
                6A71.5	Recurrent depressive disorder, current episode, unspecified severity
                6A71.6	Recurrent depressive disorder, currently in partial remission
                6A71.7	Recurrent depressive disorder, currently in full remission
                6A71.Y	Other specified recurrent depressive disorder
                6A71.Z	Recurrent depressive disorder, unspecified
            6A72	Dysthymic disorder
            6A73	Mixed depressive and anxiety disorder
            6A7Y	Other specified depressive disorders
            6A7Z	Depressive disorders, unspecified
        6A80	Symptomatic and course presentations for mood episodes in mood disorders
            6A80.0	Prominent anxiety symptoms in mood episodes
            6A80.1	Panic attacks in mood episodes
            6A80.2	Current depressive episode persistent
            6A80.3	Current depressive episode with melancholia
            6A80.4	Seasonal pattern of mood episode onset
            6A80.5	Rapid cycling
        	Substance-induced mood disorders
        6A8Y	Other specified mood disorders
        6A8Z	Mood disorders, unspecified
    	Anxiety or fear-related disorders
        6B00	Generalised anxiety disorder
        6B01	Panic disorder
        6B02	Agoraphobia
        6B03	Specific phobia
        6B04	Social anxiety disorder
        6B05	Separation anxiety disorder
        6B06	Selective mutism
        	Substance-induced anxiety disorders
        6B0Y	Other specified anxiety or fear-related disorders
        6B0Z	Anxiety or fear-related disorders, unspecified
    	Obsessive-compulsive or related disorders
        6B20	Obsessive-compulsive disorder
            6B20.0	Obsessive-compulsive disorder with fair to good insight
            6B20.1	Obsessive-compulsive disorder with poor to absent insight
            6B20.Z	Obsessive-compulsive disorder, unspecified
        6B21	Body dysmorphic disorder
            6B21.0	Body dysmorphic disorder with fair to good insight
            6B21.1	Body dysmorphic disorder with poor to absent insight
            6B21.Z	Body dysmorphic disorder, unspecified
        6B22	Olfactory reference disorder
            6B22.0	Olfactory reference disorder with fair to good insight
            6B22.1	Olfactory reference disorder with poor to absent insight
            6B22.Z	Olfactory reference disorder, unspecified
        6B23	Hypochondriasis
            6B23.0	Hypochondriasis with fair to good insight
            6B23.1	Hypochondriasis with poor to absent insight
            6B23.Z	Hypochondriasis, unspecified
        6B24	Hoarding disorder
            6B24.0	Hoarding disorder with fair to good insight
            6B24.1	Hoarding disorder with poor to absent insight
            6B24.Z	Hoarding disorder, unspecified
        6B25	Body-focused repetitive behaviour disorders
            6B25.0	Trichotillomania
            6B25.1	Excoriation disorder
            6B25.Y	Other specified body-focused repetitive behaviour disorders
            6B25.Z	Body-focused repetitive behaviour disorders, unspecified
        	Substance-induced obsessive-compulsive or related disorders
        6B2Y	Other specified obsessive-compulsive or related disorders
        6B2Z	Obsessive-compulsive or related disorders, unspecified
    	Disorders specifically associated with stress
        6B40	Post traumatic stress disorder
        6B41	Complex post traumatic stress disorder
        6B42	Prolonged grief disorder
        6B43	Adjustment disorder
        6B44	Reactive attachment disorder
        6B45	Disinhibited social engagement disorder
        6B4Y	Other specified disorders specifically associated with stress
        6B4Z	Disorders specifically associated with stress, unspecified
    	Dissociative disorders
        6B60	Dissociative neurological symptom disorder
            6B60.0	Dissociative neurological symptom disorder, with visual disturbance
            6B60.1	Dissociative neurological symptom disorder, with auditory disturbance
            6B60.2	Dissociative neurological symptom disorder, with vertigo or dizziness
            6B60.3	Dissociative neurological symptom disorder, with other sensory disturbance
