02	Neoplasms
    	Neoplasms of brain or central nervous system
        2A00	Primary neoplasms of brain
            2A00.0	Gliomas of brain
                2A00.00	Glioblastoma of brain
                2A00.0Y	Other specified gliomas of brain
                2A00.0Z	Gliomas of brain, unspecified
            2A00.1	Embryonal tumours of brain
                2A00.10	Medulloblastoma of brain
                2A00.11	Central primitive neuroectodermal tumour
                2A00.1Y	Other specified embryonal tumours of brain
                2A00.1Z	Embryonal tumours of brain, unspecified
            2A00.2	Tumours of neuroepithelial tissue of brain
                2A00.20	Tumours of the pineal gland or pineal region
                2A00.21	Mixed neuronal-glial tumours
                2A00.22	Choroid plexus tumours
                2A00.2Y	Other specified tumours of neuroepithelial tissue of brain
                2A00.2Z	Tumours of neuroepithelial tissue of brain, unspecified
            2A00.3	Central neurocytoma of brain
            2A00.4	Astroblastoma of the brain
            2A00.5	Primary neoplasm of brain of unknown or unspecified type
        2A01	Primary neoplasms of meninges
            2A01.0	Meningiomas
                2A01.00	Primary malignant meningioma
                2A01.0Y	Other specified meningiomas
                2A01.0Z	Meningiomas, unspecified
            2A01.1	Mesenchymal tumours of meninges
            2A01.2	Primary neoplasm of meninges of unknown or unspecified type
        2A02	Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system
            2A02.0	Gliomas of spinal cord, cranial nerves or other parts of the central nervous system
                2A02.00	Glioblastoma of spinal cord, cranial nerves or other parts of central nervous system
                2A02.0Y	Other specified gliomas of spinal cord, cranial nerves or other parts of the central nervous system
                2A02.0Z	Gliomas of spinal cord, cranial nerves or other parts of the central nervous system, unspecified
            2A02.1	Tumours of cranial or paraspinal nerves
                2A02.10	Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves
                2A02.11	Paraspinal neuroblastoma
                2A02.12	Malignant neoplasm of the optic nerve
                2A02.1Y	Other specified tumours of cranial or paraspinal nerves
                2A02.1Z	Tumours of cranial or paraspinal nerves, unspecified
            2A02.2	Primary neoplasm of spinal cord of unknown or unspecified type
            2A02.3	Benign neoplasm of cranial nerves
            2A02.4	Benign neoplasm of spinal cord
        2A0Z	Other and unspecified neoplasms of brain or central nervous system
    	Neoplasms of haematopoietic or lymphoid tissues
        	Myeloproliferative neoplasms
            2A20	Non mast cell myeloproliferative neoplasms
                2A20.0	Chronic myelogenous leukaemia, BCR-ABL1-positive
                    2A20.00	Chronic myelogenous leukaemia with blast crisis
                    2A20.01	Chronic myelogenous leukaemia, Philadelphia chromosome (Ph1) positive
                    2A20.02	Chronic myelogenous leukaemia, t(9:22)(q34; q11)
                    2A20.03	Naegeli-type monocytic leukaemia
                    2A20.0Y	Other specified chronic myelogenous leukaemia, BCR-ABL1-positive
                    2A20.0Z	Chronic myelogenous leukaemia, BCR-ABL1-positive, unspecified
                2A20.1	Chronic neutrophilic leukaemia
                2A20.2	Primary myelofibrosis
                2A20.3	Chronic eosinophilic leukaemia, not elsewhere classified
                2A20.4	Polycythaemia vera
                2A20.5	Non mast cell myeloproliferative neoplasm, unclassifiable
                2A20.Y	Other specified non mast cell myeloproliferative neoplasms
                2A20.Z	Non mast cell myeloproliferative neoplasms, unspecified
            2A21	Mastocytosis
                2A21.0	Systemic mastocytosis
                    2A21.00	Mast cell leukaemia
                    2A21.0Y	Other specified systemic mastocytosis
                    2A21.0Z	Systemic mastocytosis, unspecified
                2A21.1	Cutaneous mastocytosis
                    2A21.10	Urticaria pigmentosa
                    2A21.1Y	Other specified cutaneous mastocytosis
                    2A21.1Z	Cutaneous mastocytosis, unspecified
                2A21.2	Mast cell sarcoma
                2A21.3	Extracutaneous mastocytoma
                2A21.Y	Other specified mastocytosis
                2A21.Z	Mastocytosis, unspecified
            2A22	Other and unspecified myeloproliferative neoplasms
        	Myelodysplastic syndromes
            2A30	Refractory anaemia
            2A31	Refractory neutropaenia
            2A32	Refractory thrombocytopenia
            2A33	Refractory anaemia with ring sideroblasts
            2A34	Refractory cytopenia with multi-lineage dysplasia
            2A35	Refractory anaemia with excess of blasts
            2A36	Myelodysplastic syndrome with isolated del(5q)
            2A37	Myelodysplastic syndrome, unclassifiable
            2A38	Refractory cytopenia of childhood
            2A3Y	Other specified myelodysplastic syndromes
            2A3Z	Myelodysplastic syndromes, unspecified
        	Myelodysplastic and myeloproliferative neoplasms
            2A40	Chronic myelomonocytic leukaemia
            2A41	Atypical chronic myeloid leukaemia, BCR-ABL1-negative
            2A42	Juvenile myelomonocytic leukaemia
                2A42.0	Juvenile myelomonocytic leukaemia in complete remission
                2A42.Y	Other specified juvenile myelomonocytic leukaemia
                2A42.Z	Juvenile myelomonocytic leukaemia, unspecified
