	Vaccines
    XM3KV2	Bacterial vaccines
        XM29K4	Cholera vaccines
            XM3Z26	Cholera, inactivated, whole cell vaccines
            XM72A0	Cholera, live attenuated vaccines
            XM1FT6	Cholera, combinations with typhoid vaccine, inactivated, whole cell vaccines
        XM11V3	Haemophilus influenzae B vaccines
            XM6RG9	Hib, purified antigen conjugated vaccines
            XM7F70	Hib, combinations with toxoids vaccines
            XM81F7	Hib, combinations with pertussis and toxoids vaccines
            XM0X86	Hib, combinations with meningococcus C, conjugated vaccines
        XM2WV4	Meningococcal vaccines
            XM92B2	Meningococcal monovalent purified polysaccharides antigen vaccines
            XM5LC2	Meningococcal polyvalent purified polysaccharides antigen vaccines
                XM3T39	Meningococcus A, C, bivalent purified polysaccharides antigen vaccines
                XM2AR0	Meningococcus A, C, Y, W-135, tetravalent purified polysaccharides antigen vaccines
                XM2EH7	Meningococcus A, C, Y, W-135, tetravalent purified polysaccharides antigen conjugated vaccines
            XM18Y8	Meningococcus C, purified polysaccharides antigen conjugated vaccines
            XM2280	Meningococcus A, purified polysaccharides antigen conjugated vaccines
            XM9GJ1	Meningococcus B, outer membrane vesicle vaccines
            XM1X81	Meningococcus B, multicomponent vaccines
            XM37L5	Meningococcus A, purified polysaccharides antigen vaccines
        XM43M9	Pertussis vaccines
            XM45L8	Pertussis, inactivated, whole cell vaccines
            XM62J1	Pertussis, purified antigen vaccines
            XM2TK2	Pertussis, inactivated, whole cell, combinations with toxoids vaccines
            XM4082	Pertussis, purified antigen, combinations with toxoids vaccines
            XM2CV8	Vaccines pertussis with diphtheria
        XM9EM7	Pneumococcal vaccines
            XM9G97	Pneumococcal conjugate (13-valent) vaccines
            XM2249	Pneumococcal polysaccharide 23-valent vaccines
            XM91D7	Pneumococcus, purified polysaccharides antigen vaccines
            XM96S7	Pneumococcus, purified polysaccharides antigen conjugated vaccines
            XM4R39	Pneumococcus purified polysaccharides antigen and Haemophilus influenzae, conjugated vaccines
